ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,MAG_X,MAG_Y,MAG_Z
-302,340,-268,547,-849,-1090,-2,-1,-2
-430,300,-336,237,-562,-1559,-2,-1,-2
-641,305,-359,-19,-88,-2062,-2,0,-2
-902,372,-256,-836,-149,-2209,-1,0,-2
-1214,318,-159,-783,357,-2242,-1,0,-2
-1447,322,-59,-1174,80,-1897,0,0,-2
-1783,318,53,-1544,387,-1388,0,0,-2
-1836,284,300,-1643,506,-445,1,0,-2
-1686,201,446,-1680,356,5,1,0,-2
-1491,129,526,-1372,320,606,1,0,-2
-1359,4,482,-1075,390,879,1,0,-2
-1447,27,529,-691,364,1090,1,0,-1
-1469,75,507,-611,-101,1285,0,0,-1
-1489,206,580,-235,-194,1430,0,0,-1
-1360,226,460,49,-459,1598,0,0,-2
-1067,202,483,270,-497,1529,0,0,-2
-868,152,456,272,-751,1627,-1,0,-2
-726,47,482,575,-961,1381,-1,0,-2
-515,3,412,962,-1267,1183,-2,0,-2
-288,31,186,1215,-1440,809,-2,0,-2
-247,134,-44,1190,-1504,196,-2,-1,-2
-247,277,-224,1101,-1215,-350,-2,-1,-2
-368,361,-385,714,-943,-808,-2,-1,-2
-473,417,-470,336,-654,-1188,-2,-1,-2
-580,432,-395,-134,-431,-1460,-2,0,-2
-646,404,-240,-472,-105,-1713,-2,0,-2
-1109,473,-241,-684,56,-1981,-1,0,-2
-1277,477,-228,-942,150,-1782,0,0,-2
-1466,524,-182,-988,497,-1480,0,0,-2
-1518,439,-106,-1402,408,-1054,0,0,-2
-1531,362,32,-1544,352,-513,0,0,-2
-1460,250,254,-1565,347,-154,1,0,-2
-1444,129,365,-1593,59,299,1,0,-2
-1523,137,555,-1341,83,581,1,0,-1
-1508,92,509,-886,-252,978,1,0,-1
-1495,78,528,-618,-342,1182,0,0,-2
-1400,86,459,-297,-371,1347,0,0,-2
-1153,102,542,-175,-559,1416,0,0,-2
-1009,151,597,34,-942,1536,0,0,-2
-840,126,674,264,-738,1365,-1,0,-2
-614,93,575,926,-887,1086,-1,0,-2
-442,31,257,980,-1480,765,-1,0,-2
-469,80,41,973,-1457,331,-2,0,-2
-278,141,-15,1096,-912,-18,-2,-1,-2
-194,241,-157,741,-865,-345,-2,-1,-2
-16,399,-22,556,-415,-777,-2,-1,-2
-206,379,-88,631,-345,-1232,-2,0,-2
-598,302,-334,602,-175,-1674,-2,0,-2
-997,292,-325,-199,-249,-1936,-1,0,-2
-1068,346,-192,-375,92,-2003,-1,0,-2
-1290,371,-191,-672,117,-1905,0,0,-2
-1554,411,-47,-923,159,-1590,0,0,-2
-1913,455,-114,-1010,338,-984,0,0,-2
-1882,343,101,-1552,233,-270,1,0,-2
-1693,178,264,-1715,198,354,1,0,-2
-1604,157,468,-1723,-19,722,1,0,-2
-1490,17,486,-1352,43,1143,1,0,-2
-1458,68,595,-1079,-9,1399,0,0,-2
-1327,48,596,-667,-119,1577,0,0,-2
-1183,80,705,-237,-366,1745,0,0,-2
-1101,111,730,234,-841,2004,0,0,-2
-780,24,483,640,-1059,1748,-1,0,-2
-538,71,482,814,-1280,1359,-1,0,-2
-341,70,334,1029,-1467,1026,-2,0,-2
-278,99,228,1045,-1572,578,-2,-1,-2
-246,169,54,1103,-1389,92,-2,-1,-2
