ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,MAG_X,MAG_Y,MAG_Z
-86,-50,-877,-168,-614,116,1,-2,2
-88,-20,-814,59,-1231,258,1,-1,2
-252,-103,-946,326,-2955,668,1,-1,2
-586,-65,-665,94,-4583,723,1,0,1
-1040,-43,-365,207,-5215,1033,0,0,0
-1161,57,-40,-149,-5856,1718,0,0,-2
-939,216,434,-366,-5689,1937,0,0,-3
-603,287,658,-105,-4219,1431,0,-1,-4
-303,311,810,-101,-793,94,0,-2,-4
-317,331,871,-177,824,-266,0,-2,-4
-435,305,836,-126,1129,-377,0,-2,-4
-677,255,716,-186,3341,-1164,0,-1,-4
-1109,147,538,-488,4043,-1222,0,0,-3
-1191,84,293,-350,5492,-1264,0,0,-2
-979,45,-237,-86,6031,-1141,0,0,0
-694,-91,-682,27,6148,-945,1,0,1
0,-84,-873,-92,3381,-420,1,-1,2
61,-128,-998,-44,795,68,1,-2,2
57,-110,-923,-87,-105,-16,1,-2,2
-30,-85,-855,-6,-1064,133,1,-2,2
-143,-91,-823,228,-2438,426,1,-1,2
-530,-122,-799,201,-4393,597,1,0,1
-887,-141,-659,215,-3742,651,1,0,0
-983,-31,-212,-305,-5280,1249,0,1,-1
-1164,121,371,-329,-6433,1632,0,0,-3
-835,164,627,-5,-4643,1295,0,0,-4
-479,200,843,-104,-2154,389,0,-1,-4
-520,263,911,-217,-467,-119,0,-2,-4
-427,243,941,-19,797,-268,0,-2,-4
-552,207,838,-67,1864,-337,0,-1,-4
-821,152,673,-175,3780,-623,0,0,-4
-1148,90,510,-335,4858,-613,0,0,-2
-1124,70,100,-165,5586,-791,0,1,-1
-861,27,-357,116,5861,-773,0,0,0
-475,-59,-743,41,5232,-543,1,0,2
61,-49,-886,26,2678,-119,1,-1,2
114,-80,-944,-70,964,96,1,-2,2
98,-37,-889,-97,-83,21,1,-2,2
-6,-58,-937,106,-925,96,1,-2,2
-90,-61,-898,219,-1929,300,1,-1,2
-352,-92,-818,455,-3607,594,1,0,2
-801,-62,-502,291,-6013,1236,1,0,0
-1213,-5,-125,112,-6059,1558,0,0,-1
-1139,177,239,18,-5406,1914,0,0,-3
-717,310,711,-224,-4431,1941,0,0,-4
-378,356,764,-145,-2905,1266,0,-2,-4
-257,365,863,44,338,-168,0,-2,-4
-315,384,849,-37,280,-156,0,-2,-4
-412,394,816,-53,1189,-522,0,-2,-4
-650,371,833,12,2535,-1014,0,-1,-4
-944,305,590,12,3353,-1199,0,0,-3
-1072,222,382,-14,4271,-1204,0,0,-2
-1067,99,66,79,4485,-1163,0,0,-1
-871,38,-337,179,4627,-1037,0,0,0
-616,-134,-718,89,3741,-737,1,0,1
-311,-111,-837,11,3071,-597,1,0,2
-85,-85,-992,75,1335,-84,1,-1,2
-20,-129,-1020,6,374,130,1,-1,2
-11,-132,-965,-112,129,39,1,-1,2
-62,-128,-908,-103,-336,60,1,-1,2
-80,-107,-835,17,-1701,336,1,-1,2
-414,-76,-656,82,-4118,756,1,0,1
-900,-46,-476,179,-5403,1084,0,0,0
-1226,51,-89,-46,-5561,1502,0,1,-1
-979,193,394,-150,-4704,1640,0,0,-3
-786,309,660,-119,-4217,1417,0,0,-4
-403,311,773,-119,-2935,980,0,-2,-4
